"Name","URL","DIR"
"NeoBundle","https://github.com/Shougo/neobundle.vim",".vim/bundle/neobundle.vim"
"Zplug","https://github.com/b4b4r07/zplug",".zsh/bundle/zplug"
"TPM","https://github.com/tmux-plugins/tpm",".tmux/plugins/tpm"
